timestamp,listings_found,total_available_tickets,cheapest_price,5th_cheapest_price,10th_cheapest_price,most_expensive_price,average_price_10_cheapest,average_price_all_tickets
2025-07-27 00:16:47,1059,1773,270.3,278.46,280.5,409.38,277.54,343.53
2025-07-27 00:18:09,1058,1772,270.3,278.46,280.5,409.38,277.54,343.52
2025-07-27 00:27:51,1058,1769,275.4,279.47,280.5,409.38,278.56,343.58
2025-07-27 00:29:21,1058,1769,275.4,279.47,280.5,409.38,278.56,343.58
2025-07-27 00:30:53,1058,1769,275.4,279.47,280.5,409.38,278.56,343.58
2025-07-27 00:59:57,1059,1770,275.4,279.47,280.5,409.38,278.56,343.52
2025-07-27 01:09:53,1059,1770,275.4,279.47,280.5,409.38,278.56,343.52
2025-07-27 13:45:05,1067,1779,275.4,280.5,280.5,409.38,279.99,343.17
2025-07-27 14:12:17,1068,1778,275.4,280.5,280.5,409.38,279.99,343.08
2025-07-28 22:30:08,1074,1766,269.28,275.4,275.4,409.38,274.28,341.61
2025-07-28 22:32:43,1075,1767,269.28,275.4,275.4,409.38,274.28,341.57
2025-07-28 22:33:51,1074,1766,269.28,275.4,275.4,409.38,274.28,341.61
2025-07-28 22:34:50,1074,1766,269.28,275.4,275.4,409.38,274.28,341.61
2025-07-28 22:36:25,1075,1767,253.98,275.4,275.4,409.38,272.14,341.53
